r002,r003,r004,r005,r006,label
9228455,10132680,81925,47,149624,maligne
9311544,10268882,85602,48,150168,maligne
9334317,10285000,87827,44,149597,maligne
9310940,10172678,82392,41,156251,maligne
9276481,10229802,88249,61,149789,maligne
9343184,9991128,82262,45,150457,maligne
9238463,10259477,87845,43,149172,maligne
9318769,10032185,90036,44,146556,maligne
9250265,10198855,83446,45,157699,maligne
9316368,9479547,87401,48,148666,maligne
9320616,9959579,82102,47,148028,maligne
9371140,10204326,90277,45,149026,maligne
9296595,10013015,83510,44,151279,maligne
9238815,10160641,89598,45,149190,maligne
9267151,10140528,89269,41,151170,maligne
9299586,10170685,85698,44,150803,maligne
9355001,9336252,91265,41,149013,maligne
9287652,10051892,84643,48,148554,maligne
9389411,10178083,93496,43,149205,maligne
9347405,10158007,85395,46,147887,maligne
9336969,9754224,85302,45,149004,maligne
9312077,10144455,88530,44,148433,maligne
9309705,10081660,86174,47,148902,maligne
9364099,9456792,94694,44,148394,maligne
9340123,10047678,91259,46,149152,maligne
9300342,10023382,91095,43,149066,maligne
9390143,10017649,89504,45,146878,maligne
9337840,10497320,87739,43,147608,maligne
9234218,10121522,90533,44,148275,maligne
9357309,9960891,85820,45,150638,maligne
9251215,10193627,93920,44,149639,maligne
9320996,10113750,86976,46,149907,maligne
9582875,10284205,92618,44,148052,maligne
9379500,10546764,88594,44,148062,maligne
9346211,10191827,88819,44,148466,maligne
9305109,10198828,92179,45,149748,maligne
9369454,9470692,95064,45,143711,maligne
9172549,10391310,90677,44,147481,maligne
9673929,10521325,86440,43,149406,maligne
9303514,10099304,83262,45,150218,maligne
9353771,10281560,87803,43,148825,maligne
9286365,10256003,84450,42,149547,maligne
9335862,10259470,89787,67,146469,maligne
9723222,10109141,86157,42,151345,maligne
9315548,10119489,90366,43,150005,maligne
9333289,9980689,92829,44,153324,maligne
9248805,10147836,85193,49,145959,maligne
9376687,10294014,90714,45,147647,maligne
9307977,10026527,85788,46,150244,maligne
9309008,10112065,90374,45,151313,maligne
9367084,8657454,86983,45,149853,maligne
9298121,10209675,88973,44,156930,maligne
9331760,10342248,90186,45,151093,maligne
9401122,10226784,84177,44,149000,maligne
9163596,10441825,94054,46,151099,maligne
8493026,10209627,85059,44,147255,maligne
8448232,10113297,90148,45,150002,maligne
8461121,10309087,85268,41,150090,maligne
8427838,10095890,84557,46,151521,maligne
8934725,10245048,86985,45,148196,maligne
8837213,10208613,83694,48,149781,maligne
8609265,10585867,87728,43,149468,maligne
8553838,10265020,82908,44,150040,maligne
8560078,10132449,83622,46,149997,maligne
8869260,14215368,88670,44,151636,maligne
8582485,10003382,84917,42,146802,maligne
8566995,9983966,91476,48,151595,maligne
8601866,9566386,88483,46,150689,maligne
8609582,10074872,87853,47,148452,maligne
9348199,10251259,85836,48,145783,maligne
8133365,10249185,87092,44,147670,maligne
8654744,10188365,93255,42,148879,maligne
8805552,10139657,86978,45,148586,maligne
9235804,10163168,93222,43,148259,maligne
9221450,10346554,87485,46,148651,maligne
9134203,10288462,90349,46,144659,maligne
9200720,10215549,88465,46,148871,maligne
9364979,9435992,89995,45,149271,maligne
8966643,10072105,89765,44,147572,maligne
17342403,10247845,88395,46,149364,maligne
9841978,10123089,91183,49,148995,maligne
15515995,10239775,88252,45,172474,maligne
10889134,10140389,94321,45,149299,maligne
9447828,10094170,94105,47,147854,maligne
9255465,9527200,85752,45,146443,maligne
9233353,10159946,92986,43,148064,maligne
9233028,10329279,89633,43,147486,maligne
9205158,10192586,93400,42,149834,maligne
9328343,10327277,88253,43,147546,maligne
9232155,10187482,85280,44,154668,maligne
9069516,10107349,88033,42,150002,maligne
9275803,9428539,86257,52,147045,maligne
9223459,10048875,91694,44,148770,maligne
9132929,10173158,90430,43,149462,maligne
9203273,10129261,92808,44,151500,maligne
9101813,10257384,92807,45,148987,maligne
9279353,10299252,91128,44,149383,maligne
9148496,10173868,95880,45,147925,maligne
9263796,10284837,90854,42,148327,maligne
9229359,10184092,94853,46,148625,maligne
9337818,10018885,92402,44,149081,maligne
9347801,10066668,93323,43,150613,maligne
9303013,10373633,92312,42,152076,maligne
9055534,10380913,87807,41,150655,maligne
9296656,10163282,90697,46,145948,maligne
9203202,10244758,89341,47,148740,maligne
9241750,10192306,93361,43,147375,maligne
9150900,10300083,95687,69,149360,maligne
9193075,10253920,91320,41,149236,maligne
9494263,10137190,90889,45,152174,maligne
9280347,10286523,86252,45,150587,maligne
9263607,10140736,91689,45,149114,maligne
9246212,10234520,89728,45,149235,maligne
9196198,10108708,84780,47,146695,maligne
9270805,10257890,91345,47,148990,maligne
9125736,9462847,86834,44,148343,maligne
9213634,9997268,92468,41,151126,maligne
9168446,10216474,88289,47,151296,maligne
9291895,10254189,90191,44,152072,maligne
9257132,9481444,93452,45,149709,maligne
9375341,10219559,89910,45,151381,maligne
9560674,10213348,94322,44,149999,maligne
9290715,9517879,88454,47,149890,maligne
9109098,10147510,92186,43,149129,maligne
9289400,10253093,92573,46,151018,maligne
9100830,10256013,88036,46,155841,maligne
9176520,10270532,90729,44,151373,maligne
9248967,10204660,90712,45,148208,maligne
9205536,10091627,93455,45,149900,maligne
9205575,9382500,91400,43,148093,maligne
9323985,10279176,91400,45,151891,maligne
9090582,10164170,93795,46,157883,maligne
9631016,10068110,88028,44,151462,maligne
9227818,9463059,96026,44,146754,maligne
9498590,10046461,84280,45,150133,maligne
9010345,10145794,94726,45,149044,maligne
9271365,10330897,87493,46,149540,maligne
9136861,10119392,87760,45,147888,maligne
9246542,10445784,94312,47,146680,maligne
9294376,10244860,85249,46,150742,maligne
9269114,10333823,91115,43,151546,maligne
9277932,9425098,88447,46,150576,maligne
9153139,10126873,91497,42,153050,maligne
9099201,10139545,94269,46,150787,maligne
9333320,10105858,86891,45,151161,maligne
9173605,10138758,93003,43,152611,maligne
9173903,9882139,87716,43,149099,maligne
9156373,9995442,91702,43,150938,maligne
9138767,9534807,89695,45,150325,maligne
9137671,10214644,88132,46,149075,maligne
9116973,10278564,93437,50,149911,maligne
9062387,10200254,90127,44,150298,maligne
9160929,10584474,91708,51,148938,maligne
9494867,10306079,90542,44,149824,maligne
8987574,10235792,84521,46,149224,maligne
9196599,10139289,91207,43,148752,maligne
9113628,10090063,90765,45,146809,maligne
9198045,10329452,91447,46,150761,maligne
9167945,10284935,84991,43,149250,maligne
9218325,10237795,91058,44,151030,maligne
9306403,10366781,91347,45,150265,maligne
9252467,10160217,89198,44,150078,maligne
9230655,10288335,89306,45,145982,maligne
10158169,10258784,88402,48,147899,maligne
8949947,10179973,94155,44,150071,maligne
9321794,9414324,87916,49,147781,maligne
9223411,10209562,93805,44,148730,maligne
9314519,10132421,96900,48,148767,maligne
9266579,10164719,86495,43,148342,maligne
9560268,10350811,89706,47,148655,maligne
9253692,10274161,87834,44,149734,maligne
9270791,10283758,93036,45,148128,maligne
9280945,9443958,87006,49,144725,maligne
9289337,10220801,88811,47,154885,maligne
9088278,10170888,92634,48,150922,maligne
9323961,10282768,87493,46,149983,maligne
9242115,10295293,93773,44,151457,maligne
9284241,10238115,92568,46,149595,maligne
9182888,10172205,93145,47,157888,maligne
9218615,10152317,91020,46,150512,maligne
9232506,10201806,87942,46,150345,maligne
9334783,10297476,90712,45,147730,maligne
9183648,10125220,86821,44,147898,maligne
9248744,10456137,88773,46,155963,maligne
9135974,10113404,91682,46,149741,maligne
9222828,10044859,86110,44,149724,maligne
9145709,10344960,91068,45,151610,maligne
9079228,10318977,83551,44,147912,maligne
9245464,10220156,88631,43,151856,maligne
9291306,10575643,91504,44,157521,maligne
9031625,10118035,86779,45,151793,maligne
9252355,10399120,95247,43,147185,maligne
9247321,10202228,85289,47,146536,maligne
9245195,10324324,88950,45,150849,maligne
