combo,benigne,maligne,maligno_ratio
"(3, 2, 1, 3, 2)",0,4,1.0
"(3, 4, 2, 4, 3)",5,3,0.375
"(4, 4, 2, 4, 3)",16,3,0.15789473684210525
"(2, 2, 1, 1, 1)",0,3,1.0
"(2, 3, 3, 3, 2)",3,3,0.5
"(1, 4, 3, 2, 1)",0,3,1.0
"(1, 2, 2, 3, 3)",1,3,0.75
"(3, 3, 1, 3, 3)",31,3,0.08823529411764706
"(2, 4, 2, 1, 2)",2,3,0.6
"(2, 4, 2, 2, 1)",0,3,1.0
"(3, 2, 3, 3, 3)",43,3,0.06521739130434782
"(1, 2, 4, 4, 1)",0,3,1.0
"(1, 1, 3, 2, 2)",0,3,1.0
"(1, 1, 3, 3, 1)",2,3,0.6
"(1, 1, 3, 2, 1)",0,3,1.0
"(3, 1, 4, 3, 3)",3,3,0.5
"(3, 3, 4, 1, 4)",0,3,1.0
"(1, 1, 4, 1, 3)",1,3,0.75
"(3, 4, 3, 2, 4)",3,3,0.5
"(3, 2, 3, 4, 3)",176,3,0.01675977653631285
"(1, 2, 1, 2, 3)",3,3,0.5
"(2, 3, 1, 3, 4)",0,3,1.0
"(3, 2, 1, 1, 1)",0,2,1.0
"(1, 1, 1, 3, 2)",0,2,1.0
"(2, 4, 4, 3, 2)",0,2,1.0
"(2, 4, 4, 3, 1)",0,2,1.0
"(1, 1, 1, 3, 1)",2,2,0.5
"(1, 2, 2, 4, 1)",0,2,1.0
"(2, 3, 4, 4, 3)",16,2,0.1111111111111111
"(2, 3, 3, 1, 1)",0,2,1.0
"(2, 4, 1, 2, 2)",0,2,1.0
"(2, 4, 4, 2, 1)",0,2,1.0
"(2, 4, 4, 4, 4)",10,2,0.16666666666666666
"(3, 1, 2, 4, 1)",2,2,0.5
"(1, 2, 2, 2, 3)",2,2,0.5
"(3, 3, 3, 2, 3)",4,2,0.3333333333333333
"(2, 3, 2, 1, 1)",0,2,1.0
"(2, 1, 3, 4, 3)",76,2,0.02564102564102564
"(2, 1, 2, 2, 3)",0,2,1.0
"(2, 1, 4, 1, 3)",2,2,0.5
"(3, 4, 3, 2, 2)",75,2,0.025974025974025976
"(1, 2, 3, 3, 1)",0,2,1.0
"(3, 4, 2, 3, 4)",9,2,0.18181818181818182
"(1, 4, 4, 1, 2)",0,2,1.0
"(4, 2, 1, 2, 4)",0,2,1.0
"(1, 2, 3, 4, 2)",1,2,0.6666666666666666
"(2, 2, 1, 4, 2)",0,2,1.0
"(1, 2, 2, 1, 3)",24,2,0.07692307692307693
"(3, 4, 1, 3, 4)",0,2,1.0
"(2, 4, 3, 2, 3)",0,2,1.0
"(1, 3, 1, 4, 2)",0,2,1.0
"(2, 1, 3, 1, 3)",0,1,1.0
"(2, 1, 3, 1, 2)",2,1,0.3333333333333333
