combo,benigne,maligne
"(1, 4, 3, 3, 1)",0,5
"(2, 2, 4, 1, 2)",0,5
"(2, 3, 1, 4, 3)",0,4
"(2, 3, 4, 3, 3)",0,4
"(2, 1, 4, 4, 2)",37,4
"(2, 1, 2, 4, 1)",4,4
"(2, 1, 4, 3, 4)",0,4
"(1, 4, 4, 4, 2)",0,4
"(3, 4, 2, 2, 2)",83,4
"(3, 4, 3, 3, 4)",30,4
"(2, 1, 2, 3, 3)",0,4
"(4, 4, 1, 4, 3)",18,4
"(2, 1, 2, 4, 3)",0,4
"(1, 1, 4, 2, 3)",0,4
"(1, 2, 1, 1, 3)",42,4
"(4, 3, 2, 2, 3)",12,4
"(2, 4, 1, 4, 2)",0,4
"(2, 4, 1, 3, 3)",9,4
"(3, 3, 2, 4, 4)",23,4
"(2, 4, 3, 4, 1)",0,4
"(1, 1, 1, 2, 2)",0,4
"(2, 2, 4, 2, 2)",0,4
"(2, 3, 2, 2, 2)",0,4
"(2, 3, 3, 3, 3)",0,4
"(3, 3, 2, 2, 3)",3,4
"(2, 3, 1, 2, 2)",0,4
"(3, 1, 2, 4, 2)",0,4
"(3, 1, 2, 3, 1)",0,4
"(2, 4, 3, 4, 3)",9,4
"(3, 1, 4, 4, 3)",175,4
"(3, 2, 1, 3, 2)",0,4
"(3, 4, 2, 4, 3)",5,3
"(4, 4, 2, 4, 3)",16,3
"(2, 2, 1, 1, 1)",0,3
"(2, 3, 3, 3, 2)",3,3
"(1, 4, 3, 2, 1)",0,3
"(1, 2, 2, 3, 3)",1,3
"(3, 3, 1, 3, 3)",31,3
"(2, 4, 2, 1, 2)",2,3
"(2, 4, 2, 2, 1)",0,3
"(3, 2, 3, 3, 3)",43,3
"(1, 2, 4, 4, 1)",0,3
"(1, 1, 3, 2, 2)",0,3
"(1, 1, 3, 3, 1)",2,3
"(1, 1, 3, 2, 1)",0,3
"(3, 1, 4, 3, 3)",3,3
"(3, 3, 4, 1, 4)",0,3
"(1, 1, 4, 1, 3)",1,3
"(3, 4, 3, 2, 4)",3,3
"(3, 2, 3, 4, 3)",176,3
"(1, 2, 1, 2, 3)",3,3
"(2, 3, 1, 3, 4)",0,3
"(3, 2, 1, 1, 1)",0,2
"(1, 1, 1, 3, 2)",0,2
"(2, 4, 4, 3, 2)",0,2
"(2, 4, 4, 3, 1)",0,2
"(1, 1, 1, 3, 1)",2,2
"(1, 2, 2, 4, 1)",0,2
"(2, 3, 4, 4, 3)",16,2
"(2, 3, 3, 1, 1)",0,2
"(2, 4, 1, 2, 2)",0,2
"(2, 4, 4, 2, 1)",0,2
"(2, 4, 4, 4, 4)",10,2
"(3, 1, 2, 4, 1)",2,2
"(1, 2, 2, 2, 3)",2,2
"(3, 3, 3, 2, 3)",4,2
"(2, 3, 2, 1, 1)",0,2
"(2, 1, 3, 4, 3)",76,2
"(2, 1, 2, 2, 3)",0,2
"(2, 1, 4, 1, 3)",2,2
"(3, 4, 3, 2, 2)",75,2
"(1, 2, 3, 3, 1)",0,2
